coef,pval,ci_low,ci_high,error,name
-0.05335280929328421,1.8879497168786232e-224,-0.056622360272988906,-0.050083258313579515,,hydro_rain_high_vs_median
-0.014598041908088827,4.5400376898973676e-11,-0.018942823089619636,-0.010253260726558019,,hydro_rain_low_vs_median
-0.0626515738241359,1.4091504040822038e-271,-0.06613907925208422,-0.059164068396187576,,met_rain_high_vs_median
-0.04412491674601928,1.6551265516435385e-80,-0.04867629009390558,-0.03957354339813298,,met_rain_low_vs_median
0.011562048838813942,9.441399456197344e-14,0.008519660811183858,0.014604436866444026,,met_tmax_high_vs_median
-0.13477438029615038,2.82853348510112e-225,-0.14301831357714564,-0.12653044701515512,,met_tmax_low_vs_median
-0.10494607876450242,1.5723512861498255e-19,-0.1277004440354636,-0.08219171349354124,,flood_vs_not
0.10329621339913427,2.4370324726626636e-299,0.09782138733729791,0.10877103946097062,,aqrean_carbon_monoxide_high_vs_not
-0.03267742724588909,4.299737928432879e-15,-0.04084052556376197,-0.02451432892801621,,aqrean_daqi_overall_high+vhigh_vs_low+mod
-0.014673107548343563,3.5325198285832757e-15,-0.018327106035806395,-0.01101910906088073,,aqrean_daqi_overall_high+vhigh+mod_vs_low
0.02994381675681345,1.9286468890032906e-31,0.024912541274899457,0.03497509223872744,,aqrean_nitrogen_monoxide_high_vs_not
-0.02925132208467885,1.3078573168973597e-16,-0.03618139869009045,-0.022321245479267254,,aqrean_nitrogen_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh_vs_low+mod
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh+mod_vs_low
0.030171720576894465,1.0326024256921223e-29,0.024948209635482017,0.03539523151830691,,aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not
-0.03594105607410189,1.72360133797332e-40,-0.041228777538386885,-0.030653334609816896,,aqrean_ozone_high_vs_not
0.1067054977757957,8.671220256205802e-05,0.053422354072488104,0.1599886414791033,,aqrean_daqi_ozone_high+vhigh_vs_low+mod
-0.03318013866184006,7.851333195761148e-38,-0.0382382088794444,-0.028122068444235718,,aqrean_daqi_ozone_high+vhigh+mod_vs_low
-0.030424779484503766,1.2280344227270223e-25,-0.03612201567404511,-0.024727543294962417,,aqrean_pm2p5_high_vs_not
-0.0010172624588247897,0.7150386002558979,-0.006478262839285117,0.004443737921635538,,aqrean_pm10_high_vs_not
-0.0130204660777396,0.20297519106287698,-0.03306541801842337,0.007024485862944171,,aqrean_daqi_pm10_high+vhigh_vs_low+mod
-0.03818293472038766,8.29358407493176e-37,-0.044087949903428986,-0.032277919537346336,,aqrean_daqi_pm10_high+vhigh+mod_vs_low
-0.059429065181912245,1.9782003781693145e-138,-0.06407984324842239,-0.05477828711540209,,aqrean_sulfur_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_sulfur_dioxide_high+vhigh_vs_low+mod
0.5643817943011326,0.04135978372297305,0.022117344017835272,1.1066462445844298,,aqrean_daqi_sulfur_dioxide_high+vhigh+mod_vs_low
