coef,pval,ci_low,ci_high,error,name
-16.371945225868473,1.619486445408082e-36,-18.914427092583047,-13.8294633591539,,hydro_rain_high_vs_median
-6.3965600878507916,0.0002368614122147946,-9.807009995386718,-2.986110180314866,,hydro_rain_low_vs_median
-21.33654183272562,1.405873941090265e-50,-24.132514282775503,-18.540569382675734,,met_rain_high_vs_median
-14.214283400384517,4.631105050926259e-14,-17.908235676648204,-10.52033112412083,,met_rain_low_vs_median
8.14899380734924,6.733256703560166e-11,5.701774116942104,10.596213497756377,,met_tmax_high_vs_median
7.082776277967001,0.038808794891080634,0.36419667032158554,13.801355885612416,,met_tmax_low_vs_median
-28.358529290448047,0.0018285135383333665,-46.19170365411458,-10.52535492678151,,flood_vs_not
-6.600949303253984,0.0004303482444655709,-10.27564033628726,-2.9262582702207065,,aqrean_carbon_monoxide_high_vs_not
-16.792677628666205,2.0517534292920983e-09,-22.283991140064735,-11.301364117267674,,aqrean_daqi_overall_high+vhigh_vs_low+mod
-3.9860514307865516,0.0014752611933706986,-6.4431992705048735,-1.52890359106823,,aqrean_daqi_overall_high+vhigh+mod_vs_low
-8.86532988527109,2.6462768656388146e-07,-12.241197247248461,-5.489462523293718,,aqrean_nitrogen_monoxide_high_vs_not
-15.313339400091133,1.059514413144469e-10,-19.960697136214677,-10.66598166396759,,aqrean_nitrogen_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh_vs_low+mod
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh+mod_vs_low
-6.606101361600095,0.0002196571185200804,-10.109968861463319,-3.102233861736871,,aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not
5.530015822966221,0.0022439004080070653,1.9832208947843264,9.076810751148116,,aqrean_ozone_high_vs_not
63.44086668280958,0.0006149041386570676,27.136196977016546,99.7455363886026,,aqrean_daqi_ozone_high+vhigh_vs_low+mod
4.761559754232992,0.006070978609375767,1.360412633920184,8.1627068745458,,aqrean_daqi_ozone_high+vhigh+mod_vs_low
-10.359049189949813,1.1082760044047052e-07,-14.184090451753026,-6.5340079281465995,,aqrean_pm2p5_high_vs_not
9.202056361431037,8.480620193083143e-07,5.5392188379408065,12.864893884921267,,aqrean_pm10_high_vs_not
-13.829645595269028,0.044069121225997626,-27.292030688525553,-0.3672605020125026,,aqrean_daqi_pm10_high+vhigh_vs_low+mod
-7.9967228002107245,7.931531419308204e-05,-11.968203689707616,-4.025241910713833,,aqrean_daqi_pm10_high+vhigh+mod_vs_low
-10.169220994733216,1.6970964911217637e-10,-13.290063787090247,-7.048378202376185,,aqrean_sulfur_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_sulfur_dioxide_high+vhigh_vs_low+mod
367.38159149676727,0.06671964543532458,-25.32740630298639,760.0905892965209,,aqrean_daqi_sulfur_dioxide_high+vhigh+mod_vs_low
